Equipo,Año,Victorias,Derrotas,Derrotas_OT,Porcentaje_Victorias,Goles_Favor,Goles_Contra
Minnesota Wild,2009,38,36,8.0,0.463,219,246
Montreal Canadiens,2009,39,33,10.0,0.476,217,223
Nashville Predators,2009,47,29,6.0,0.573,225,225
New Jersey Devils,2009,48,27,7.0,0.585,222,191
New York Islanders,2009,34,37,11.0,0.415,222,264
New York Rangers,2009,38,33,11.0,0.463,222,218
Ottawa Senators,2009,44,32,6.0,0.537,225,238
Philadelphia Flyers,2009,41,35,6.0,0.5,236,225
Phoenix Coyotes,2009,50,25,7.0,0.61,225,202
Pittsburgh Penguins,2009,47,28,7.0,0.573,257,237
San Jose Sharks,2009,51,20,11.0,0.622,264,215
St. Louis Blues,2009,40,32,10.0,0.488,225,223
Tampa Bay Lightning,2009,34,36,12.0,0.415,217,260
Toronto Maple Leafs,2009,30,38,14.0,0.366,214,267
Vancouver Canucks,2009,49,28,5.0,0.598,272,222
Washington Capitals,2009,54,15,13.0,0.659,318,233
Anaheim Ducks,2010,47,30,5.0,0.573,239,235
Atlanta Thrashers,2010,34,36,12.0,0.415,223,269
Boston Bruins,2010,46,25,11.0,0.561,246,195
Buffalo Sabres,2010,43,29,10.0,0.524,245,229
Calgary Flames,2010,41,29,12.0,0.5,250,237
Carolina Hurricanes,2010,40,31,11.0,0.488,236,239
Columbus Blue Jackets,2010,34,35,13.0,0.415,215,258
Chicago Blackhawks,2010,44,29,9.0,0.537,258,225
Colorado Avalanche,2010,30,44,8.0,0.366,227,288
Dallas Stars,2010,42,29,11.0,0.512,227,233
Detroit Red Wings,2010,47,25,10.0,0.573,261,241
Edmonton Oilers,2010,25,45,12.0,0.305,193,269
Florida Panthers,2010,30,40,12.0,0.366,195,229
Los Angeles Kings,2010,46,30,6.0,0.561,219,198
Minnesota Wild,2010,39,35,8.0,0.476,206,233
Montreal Canadiens,2010,44,30,8.0,0.537,216,209
Nashville Predators,2010,44,27,11.0,0.537,219,194
New Jersey Devils,2010,38,39,5.0,0.463,174,209
New York Islanders,2010,30,39,13.0,0.366,229,264
New York Rangers,2010,44,33,5.0,0.537,233,198
Ottawa Senators,2010,32,40,10.0,0.39,192,250
Philadelphia Flyers,2010,47,23,12.0,0.573,259,223
Phoenix Coyotes,2010,43,26,13.0,0.524,231,226
Pittsburgh Penguins,2010,49,25,8.0,0.598,238,199
San Jose Sharks,2010,48,25,9.0,0.585,248,213
St. Louis Blues,2010,38,33,11.0,0.463,240,234
Tampa Bay Lightning,2010,46,25,11.0,0.561,247,240
Toronto Maple Leafs,2010,37,34,11.0,0.451,218,251
Vancouver Canucks,2010,54,19,9.0,0.659,262,185
Washington Capitals,2010,48,23,11.0,0.585,224,197
Anaheim Ducks,2011,34,36,12.0,0.415,204,231
Boston Bruins,2011,49,29,4.0,0.598,269,202
Buffalo Sabres,2011,39,32,11.0,0.476,218,230
Calgary Flames,2011,37,29,16.0,0.451,202,226
Carolina Hurricanes,2011,33,33,16.0,0.402,213,243
Columbus Blue Jackets,2011,29,46,7.0,0.354,202,262
Chicago Blackhawks,2011,45,26,11.0,0.549,248,238
Colorado Avalanche,2011,41,35,6.0,0.5,208,220
Dallas Stars,2011,42,35,5.0,0.512,211,222
Detroit Red Wings,2011,48,28,6.0,0.585,248,203
Edmonton Oilers,2011,32,40,10.0,0.39,212,239
Florida Panthers,2011,38,26,18.0,0.463,203,227
Los Angeles Kings,2011,40,27,15.0,0.488,194,179
Minnesota Wild,2011,35,36,11.0,0.427,177,226
Montreal Canadiens,2011,31,35,16.0,0.378,212,226
Nashville Predators,2011,48,26,8.0,0.585,237,210
New Jersey Devils,2011,48,28,6.0,0.585,228,209
New York Islanders,2011,34,37,11.0,0.415,203,255
New York Rangers,2011,51,24,7.0,0.622,226,187
Ottawa Senators,2011,41,31,10.0,0.5,249,240
Philadelphia Flyers,2011,47,26,9.0,0.573,264,232
Phoenix Coyotes,2011,42,27,13.0,0.512,216,204
Pittsburgh Penguins,2011,51,25,6.0,0.622,282,221
San Jose Sharks,2011,43,29,10.0,0.524,228,210
St. Louis Blues,2011,49,22,11.0,0.598,210,165
Tampa Bay Lightning,2011,38,36,8.0,0.463,235,281
Toronto Maple Leafs,2011,35,37,10.0,0.427,231,264
Vancouver Canucks,2011,51,22,9.0,0.622,249,198
Washington Capitals,2011,42,32,8.0,0.512,222,230
Winnipeg Jets,2011,37,35,10.0,0.451,225,246
